id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
63413;Charming Room on Riviera di Chiaia;309483;Paola;;Chiaia;40.83216;14.22642;Entire home/apt;52;3;126;2024-11-03;0.91;1;332;15;I applied for a CIN, but haven’t received it yet
74364;Cozy place in a princely Palace inside Old Town;289412;Davide;;San Giuseppe;40.84969;14.25288;Entire home/apt;51;31;286;2025-01-13;1.71;4;248;30;
76993;Central Cebollitas B&B, spacious private ensuite.;411650;Cebollitas;;Vomero;40.84568;14.22618;Private room;47;3;69;2025-02-18;0.54;4;304;31;IT063049C1J5MLGK7O
77009;Central Cebollitas B&B Napoli,single/double room;411650;Cebollitas;;Vomero;40.84568;14.22618;Private room;35;3;208;2025-02-20;1.25;4;273;37;IT063049C1J5MLGK7O
77010;central Cebollitas B&B , large single/double;411650;Cebollitas;;Vomero;40.84568;14.22618;Private room;33;3;143;2025-02-24;1.11;4;291;35;IT063049C1J5MLGK7O
157691;Friendly little house;757341;Sabrina & Valentina;;San Lorenzo;40.85028;14.259;Entire home/apt;51;2;328;2024-12-15;2.68;1;7;36;IT063049C2EWLD7JJL
158928;Alloggio deluxe per vacanze a Napoli;762694;Melania;;San Lorenzo;40.85392;14.25673;Entire home/apt;69;31;9;2021-11-01;0.10;2;364;0;
176475;Panoramic and charming house with terraces;843983;Annibale Alessandro;;Chiaia;40.83567;14.23545;Entire home/apt;164;1;287;2025-03-07;1.91;3;211;30;IT063049C2NUBP75HB
199327;"""SERRA"" a piazza del Plebiscito";973557;Antonio;;San Ferdinando;40.83566;14.2463;Entire home/apt;100;3;93;2024-06-24;0.59;6;0;3;IT063049C2DOSERCJT
209277;charming apartment and guided tours;1031133;Elisabetta;;San Giuseppe;40.84587;14.25115;Entire home/apt;99;1;335;2025-02-16;2.07;4;257;33;IT063049C2YC9H32X7
209278;charming small apartment and tours;1031133;Elisabetta;;San Giuseppe;40.84586;14.25112;Entire home/apt;73;1;572;2025-02-10;3.51;4;147;41;IT063049C2YC9H32X7
212791;"""Oriente"" room in the heart of historical center.";14169118;Gigi;;San Lorenzo;40.84981;14.25573;Private room;105;3;1;2022-05-09;0.03;4;365;0;IT063049CI2707VX50
212824;"""Shuma"" room in the heart of historical center.";14169118;Gigi;;San Giuseppe;40.8492;14.25561;Private room;100;2;8;2016-09-18;0.06;4;0;0;IT063049C12ZO7VX5O
215400;B&B Il Viaggiatore: stanza Gialla;1191263;Martina;;San Giuseppe;40.84712;14.25103;Private room;140;2;1;2022-09-25;0.03;4;315;0;IT063049C1HIA8JWQB
216439;A house to leave Naples;1117036;Giuseppe;;San Ferdinando;40.83879;14.24456;Entire home/apt;58;2;7;2024-05-16;0.05;2;235;1;IT063049C2O2YRVAHX
228404;B&B Il Viaggiatore , Napoli;1191263;Martina;;San Giuseppe;40.84815;14.24989;Entire home/apt;260;2;107;2025-02-09;0.65;4;297;24;IT063049C1HIA8JWQB
237997;"""Suite"" room in the heart of historical center.";14169118;Gigi;;San Giuseppe;40.84892;14.25526;Private room;95;3;1;2021-08-22;0.02;4;365;0;IT063049C12ZO7VX5O
248199;My Seagull Bed and Breakfast;71313946;Marisa;;Avvocata;40.85253;14.24008;Private room;75;3;9;2023-08-23;0.09;4;180;0;IT063049C1PLJ877Y2
264932;Hostel of the sun Double Room;1340676;Luca;;Porto;40.83953;14.25576;Hotel room;76;31;3;2022-09-04;0.03;4;155;0;
296874;""" Ténéré "" room in the heart of historical center.";14169118;Gigi;;Stella;40.86122;14.24996;Private room;103;2;0;;;4;1;0;IT063049C12ZO7VX5O
301476;The Green Oasis;1556801;Marcella;;Arenella;40.85998;14.22191;Entire home/apt;72;1;106;2025-03-08;1.00;1;160;13;IT063049C2CEUGARM3
304001;Tranquillo Monolocale nel cuore del Centro;1564850;Sergio;;Pendino;40.85084;14.25984;Entire home/apt;85;3;221;2025-03-09;1.41;2;200;62;IT063049C2JS29TF85
310815;Residenza Maiorani  green;1587194;Marco;;Pendino;40.85127;14.25854;Entire home/apt;75;31;372;2024-11-04;2.37;2;364;21;
409654;Napoli Residenza Maiorani red;1587194;Marco;;San Lorenzo;40.85069;14.25884;Entire home/apt;75;31;369;2025-01-02;2.40;2;364;27;
434629;B&B Il Viaggiatore: stanza Azzurra;1191263;Martina;;San Giuseppe;40.84818;14.25001;Private room;100;2;0;;;4;306;0;IT063049C1HIA8JWQB
434630;B&B Il Viaggiatore: stanza Verde;1191263;Martina;;San Giuseppe;40.84884;14.25113;Private room;100;2;0;;;4;317;0;IT063049C1HIA8JWQB
492947;"Napoli Chiaia ""La Porziuncola di Rosanna""";2436059;Rosanna;;Chiaia;40.83674;14.22113;Entire home/apt;54;2;13;2024-11-03;0.09;1;360;2;IT063049C2JL6C7SUE
516800;Old Town, on Tribunals. Naples;2544761;Fabio;;San Lorenzo;40.85253;14.26258;Entire home/apt;49;2;834;2025-02-27;6.12;2;210;68;IT342367C956345123
549165;B&B Orsini46 - A room with a view;2700392;Gabriele;;San Ferdinando;40.83368;14.25136;Private room;169;1;1;2014-07-17;0.01;2;33;0;IT063049C1G6M3SH86
580756;Trieste:A window on P.za Plebiscito;2857025;Leopoldo;;San Ferdinando;40.8383;14.24816;Entire home/apt;100;2;41;2022-09-28;0.29;2;1;0;IT063049C1NSTWT89K
580835;POSILLIPO IN VILLA WITH VIEW GARDEN;2858275;Roberta;;Posillipo;40.80105;14.19398;Entire home/apt;155;3;251;2025-03-09;1.65;4;122;24;IT063049C2U5PBOPXI
610129;A delightful  studio with view.;1409200;Fabrizia;;Posillipo;40.80237;14.18569;Entire home/apt;52;31;7;2024-08-30;0.16;4;0;4;IT063049C1WDI7FJR5
